✅ Pushed at 2025-08-31 11:44:03: {'zone1': {'temperature': 14.22, 'humidity': 60.54, 'timestamp': '2025-08-31 11:44:03', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 2.1, 'humidity': 52.28, 'timestamp': '2025-08-31 11:44:03', 'status': 'Within Range'}, 'zone3': {'temperature': 4.74, 'humidity': 85.89, 'timestamp': '2025-08-31 11:44:03', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 7.7, 'humidity': 66.16, 'timestamp': '2025-08-31 11:44:03', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:44:59: {'zone1': {'temperature': 13.3, 'humidity': 59.17, 'timestamp': '2025-08-31 11:44:59', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 1.16, 'humidity': 50.25, 'timestamp': '2025-08-31 11:44:59', 'status': 'Within Range'}, 'zone3': {'temperature': 4.79, 'humidity': 86.13, 'timestamp': '2025-08-31 11:44:59', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 8.02, 'humidity': 63.62, 'timestamp': '2025-08-31 11:44:59', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:45:04: {'zone1': {'temperature': 13.98, 'humidity': 59.54, 'timestamp': '2025-08-31 11:45:04', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 0.35, 'humidity': 50.59, 'timestamp': '2025-08-31 11:45:04', 'status': 'Within Range'}, 'zone3': {'temperature': 4.15, 'humidity': 85.36, 'timestamp': '2025-08-31 11:45:04', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 7.77, 'humidity': 63.3, 'timestamp': '2025-08-31 11:45:04', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:45:09: {'zone1': {'temperature': 14.76, 'humidity': 59.91, 'timestamp': '2025-08-31 11:45:09', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 0.53, 'humidity': 50.49, 'timestamp': '2025-08-31 11:45:09', 'status': 'Within Range'}, 'zone3': {'temperature': 4.3, 'humidity': 85.14, 'timestamp': '2025-08-31 11:45:09', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 7.27, 'humidity': 62.48, 'timestamp': '2025-08-31 11:45:09', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:45:14: {'zone1': {'temperature': 14.44, 'humidity': 58.97, 'timestamp': '2025-08-31 11:45:14', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 0, 'humidity': 50.02, 'timestamp': '2025-08-31 11:45:14', 'status': 'Within Range'}, 'zone3': {'temperature': 3.39, 'humidity': 84.83, 'timestamp': '2025-08-31 11:45:14', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 7.14, 'humidity': 62.99, 'timestamp': '2025-08-31 11:45:14', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:45:19: {'zone1': {'temperature': 13.93, 'humidity': 58.59, 'timestamp': '2025-08-31 11:45:19', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 0.83, 'humidity': 50, 'timestamp': '2025-08-31 11:45:19', 'status': 'Within Range'}, 'zone3': {'temperature': 2.82, 'humidity': 85.61, 'timestamp': '2025-08-31 11:45:19', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 7.27, 'humidity': 62.7, 'timestamp': '2025-08-31 11:45:19', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:45:24: {'zone1': {'temperature': 12.97, 'humidity': 58.09, 'timestamp': '2025-08-31 11:45:24', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 1.1, 'humidity': 50, 'timestamp': '2025-08-31 11:45:24', 'status': 'Within Range'}, 'zone3': {'temperature': 2.55, 'humidity': 85.57, 'timestamp': '2025-08-31 11:45:24', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 8.18, 'humidity': 61.91, 'timestamp': '2025-08-31 11:45:24', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:45:30: {'zone1': {'temperature': 13.23, 'humidity': 58.84, 'timestamp': '2025-08-31 11:45:30', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 2.02, 'humidity': 50.02, 'timestamp': '2025-08-31 11:45:30', 'status': 'Within Range'}, 'zone3': {'temperature': 2.14, 'humidity': 85.12, 'timestamp': '2025-08-31 11:45:30', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 8.59, 'humidity': 61.99, 'timestamp': '2025-08-31 11:45:30', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:45:35: {'zone1': {'temperature': 13.93, 'humidity': 57.89, 'timestamp': '2025-08-31 11:45:35', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 2.66, 'humidity': 50, 'timestamp': '2025-08-31 11:45:35', 'status': 'Within Range'}, 'zone3': {'temperature': 2.62, 'humidity': 84.83, 'timestamp': '2025-08-31 11:45:35', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 7.68, 'humidity': 61.73, 'timestamp': '2025-08-31 11:45:35', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:45:40: {'zone1': {'temperature': 12.95, 'humidity': 57.53, 'timestamp': '2025-08-31 11:45:40', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 2.46, 'humidity': 50.55, 'timestamp': '2025-08-31 11:45:40', 'status': 'Within Range'}, 'zone3': {'temperature': 3.04, 'humidity': 84.26, 'timestamp': '2025-08-31 11:45:40', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 8.3, 'humidity': 60.95, 'timestamp': '2025-08-31 11:45:40', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:45:45: {'zone1': {'temperature': 12.26, 'humidity': 56.57, 'timestamp': '2025-08-31 11:45:45', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 1.65, 'humidity': 50, 'timestamp': '2025-08-31 11:45:45', 'status': 'Within Range'}, 'zone3': {'temperature': 3.67, 'humidity': 84.92, 'timestamp': '2025-08-31 11:45:45', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 7.85, 'humidity': 60.96, 'timestamp': '2025-08-31 11:45:45', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:45:50: {'zone1': {'temperature': 13.02, 'humidity': 56.53, 'timestamp': '2025-08-31 11:45:50', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 2.16, 'humidity': 50, 'timestamp': '2025-08-31 11:45:50', 'status': 'Within Range'}, 'zone3': {'temperature': 3.94, 'humidity': 84.91, 'timestamp': '2025-08-31 11:45:50', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 6.88, 'humidity': 61.6, 'timestamp': '2025-08-31 11:45:50', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:45:55: {'zone1': {'temperature': 12.65, 'humidity': 56.63, 'timestamp': '2025-08-31 11:45:55', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 1.34, 'humidity': 50.23, 'timestamp': '2025-08-31 11:45:55', 'status': 'Within Range'}, 'zone3': {'temperature': 4.73, 'humidity': 84.11, 'timestamp': '2025-08-31 11:45:55', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 7.55, 'humidity': 61.31, 'timestamp': '2025-08-31 11:45:55', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:46:00: {'zone1': {'temperature': 13.19, 'humidity': 56.54, 'timestamp': '2025-08-31 11:46:00', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 1.36, 'humidity': 51.0, 'timestamp': '2025-08-31 11:46:00', 'status': 'Within Range'}, 'zone3': {'temperature': 4.19, 'humidity': 85.01, 'timestamp': '2025-08-31 11:46:00', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 8.18, 'humidity': 61.59, 'timestamp': '2025-08-31 11:46:00', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:46:05: {'zone1': {'temperature': 12.85, 'humidity': 56.44, 'timestamp': '2025-08-31 11:46:05', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 0.61, 'humidity': 50.68, 'timestamp': '2025-08-31 11:46:05', 'status': 'Within Range'}, 'zone3': {'temperature': 4.52, 'humidity': 84.08, 'timestamp': '2025-08-31 11:46:05', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 8.3, 'humidity': 62.34, 'timestamp': '2025-08-31 11:46:05', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:46:10: {'zone1': {'temperature': 13.84, 'humidity': 56.29, 'timestamp': '2025-08-31 11:46:10', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 0.38, 'humidity': 51.41, 'timestamp': '2025-08-31 11:46:10', 'status': 'Within Range'}, 'zone3': {'temperature': 3.75, 'humidity': 83.25, 'timestamp': '2025-08-31 11:46:10', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 8.75, 'humidity': 61.42, 'timestamp': '2025-08-31 11:46:10', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:46:15: {'zone1': {'temperature': 14.26, 'humidity': 55.55, 'timestamp': '2025-08-31 11:46:15', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 0.57, 'humidity': 52.06, 'timestamp': '2025-08-31 11:46:15', 'status': 'Within Range'}, 'zone3': {'temperature': 3.47, 'humidity': 82.72, 'timestamp': '2025-08-31 11:46:15', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 9.63, 'humidity': 61.22, 'timestamp': '2025-08-31 11:46:15', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:46:20: {'zone1': {'temperature': 13.89, 'humidity': 56.17, 'timestamp': '2025-08-31 11:46:20', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 1.2, 'humidity': 52.68, 'timestamp': '2025-08-31 11:46:20', 'status': 'Within Range'}, 'zone3': {'temperature': 4.45, 'humidity': 83.22, 'timestamp': '2025-08-31 11:46:20', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 10.21, 'humidity': 60.8, 'timestamp': '2025-08-31 11:46:20', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:46:26: {'zone1': {'temperature': 13.88, 'humidity': 56.9, 'timestamp': '2025-08-31 11:46:26', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 1.85, 'humidity': 52.7, 'timestamp': '2025-08-31 11:46:26', 'status': 'Within Range'}, 'zone3': {'temperature': 3.79, 'humidity': 83.14, 'timestamp': '2025-08-31 11:46:26', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 9.3, 'humidity': 60.78, 'timestamp': '2025-08-31 11:46:26', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:46:31: {'zone1': {'temperature': 14.13, 'humidity': 57.43, 'timestamp': '2025-08-31 11:46:31', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 2.16, 'humidity': 53.2, 'timestamp': '2025-08-31 11:46:31', 'status': 'Within Range'}, 'zone3': {'temperature': 4.12, 'humidity': 82.92, 'timestamp': '2025-08-31 11:46:31', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 9.62, 'humidity': 59.97, 'timestamp': '2025-08-31 11:46:31', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:46:36: {'zone1': {'temperature': 13.85, 'humidity': 56.76, 'timestamp': '2025-08-31 11:46:36', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 1.49, 'humidity': 52.38, 'timestamp': '2025-08-31 11:46:36', 'status': 'Within Range'}, 'zone3': {'temperature': 4.8, 'humidity': 83.74, 'timestamp': '2025-08-31 11:46:36', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 10.07, 'humidity': 59.66, 'timestamp': '2025-08-31 11:46:36', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:46:41: {'zone1': {'temperature': 13.11, 'humidity': 55.77, 'timestamp': '2025-08-31 11:46:41', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 2.49, 'humidity': 52.45, 'timestamp': '2025-08-31 11:46:41', 'status': 'Within Range'}, 'zone3': {'temperature': 5.59, 'humidity': 84.5, 'timestamp': '2025-08-31 11:46:41', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 10.45, 'humidity': 59.38, 'timestamp': '2025-08-31 11:46:41', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:46:46: {'zone1': {'temperature': 12.83, 'humidity': 55.0, 'timestamp': '2025-08-31 11:46:46', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 2.73, 'humidity': 53.36, 'timestamp': '2025-08-31 11:46:46', 'status': 'Within Range'}, 'zone3': {'temperature': 5.14, 'humidity': 83.76, 'timestamp': '2025-08-31 11:46:46', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 10.94, 'humidity': 58.71, 'timestamp': '2025-08-31 11:46:46', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:46:51: {'zone1': {'temperature': 12.96, 'humidity': 55.95, 'timestamp': '2025-08-31 11:46:51', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 2.77, 'humidity': 53.21, 'timestamp': '2025-08-31 11:46:51', 'status': 'Within Range'}, 'zone3': {'temperature': 4.62, 'humidity': 83.63, 'timestamp': '2025-08-31 11:46:51', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 11.87, 'humidity': 59.42, 'timestamp': '2025-08-31 11:46:51', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:46:56: {'zone1': {'temperature': 13.87, 'humidity': 55.9, 'timestamp': '2025-08-31 11:46:56', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 1.96, 'humidity': 53.3, 'timestamp': '2025-08-31 11:46:56', 'status': 'Within Range'}, 'zone3': {'temperature': 4.79, 'humidity': 83.73, 'timestamp': '2025-08-31 11:46:56', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 12.07, 'humidity': 59.97, 'timestamp': '2025-08-31 11:46:56', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:47:01: {'zone1': {'temperature': 13.56, 'humidity': 56.61, 'timestamp': '2025-08-31 11:47:01', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 2.43, 'humidity': 52.33, 'timestamp': '2025-08-31 11:47:01', 'status': 'Within Range'}, 'zone3': {'temperature': 5.65, 'humidity': 83.94, 'timestamp': '2025-08-31 11:47:01', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 11.43, 'humidity': 60.77, 'timestamp': '2025-08-31 11:47:01', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:47:06: {'zone1': {'temperature': 13.67, 'humidity': 56.34, 'timestamp': '2025-08-31 11:47:06', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 2.81, 'humidity': 52.61, 'timestamp': '2025-08-31 11:47:06', 'status': 'Within Range'}, 'zone3': {'temperature': 4.85, 'humidity': 84.33, 'timestamp': '2025-08-31 11:47:06', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 12.41, 'humidity': 59.82, 'timestamp': '2025-08-31 11:47:06', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:47:11: {'zone1': {'temperature': 12.89, 'humidity': 56.69, 'timestamp': '2025-08-31 11:47:11', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 3.32, 'humidity': 52.06, 'timestamp': '2025-08-31 11:47:11', 'status': 'Within Range'}, 'zone3': {'temperature': 5.02, 'humidity': 84.48, 'timestamp': '2025-08-31 11:47:11', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 13.04, 'humidity': 59.74, 'timestamp': '2025-08-31 11:47:11', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:47:16: {'zone1': {'temperature': 11.95, 'humidity': 57.46, 'timestamp': '2025-08-31 11:47:16', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 3.43, 'humidity': 51.78, 'timestamp': '2025-08-31 11:47:16', 'status': 'Within Range'}, 'zone3': {'temperature': 4.89, 'humidity': 85.37, 'timestamp': '2025-08-31 11:47:16', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 12.91, 'humidity': 59.72, 'timestamp': '2025-08-31 11:47:16', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:47:21: {'zone1': {'temperature': 11.26, 'humidity': 56.93, 'timestamp': '2025-08-31 11:47:21', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 3.29, 'humidity': 52.74, 'timestamp': '2025-08-31 11:47:21', 'status': 'Within Range'}, 'zone3': {'temperature': 4.82, 'humidity': 85.57, 'timestamp': '2025-08-31 11:47:21', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 11.91, 'humidity': 59.64, 'timestamp': '2025-08-31 11:47:21', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:47:27: {'zone1': {'temperature': 11.53, 'humidity': 57.63, 'timestamp': '2025-08-31 11:47:27', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 3.84, 'humidity': 53.08, 'timestamp': '2025-08-31 11:47:27', 'status': 'Within Range'}, 'zone3': {'temperature': 5.13, 'humidity': 86.31, 'timestamp': '2025-08-31 11:47:27', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 11.75, 'humidity': 59.49, 'timestamp': '2025-08-31 11:47:27', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:47:32: {'zone1': {'temperature': 11.09, 'humidity': 56.7, 'timestamp': '2025-08-31 11:47:32', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 3.22, 'humidity': 53.66, 'timestamp': '2025-08-31 11:47:32', 'status': 'Within Range'}, 'zone3': {'temperature': 5.45, 'humidity': 86.61, 'timestamp': '2025-08-31 11:47:32', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 12.02, 'humidity': 59.93, 'timestamp': '2025-08-31 11:47:32', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:47:37: {'zone1': {'temperature': 10.52, 'humidity': 57.23, 'timestamp': '2025-08-31 11:47:37', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 2.82, 'humidity': 54.19, 'timestamp': '2025-08-31 11:47:37', 'status': 'Within Range'}, 'zone3': {'temperature': 4.82, 'humidity': 86.24, 'timestamp': '2025-08-31 11:47:37', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 12.48, 'humidity': 59.87, 'timestamp': '2025-08-31 11:47:37', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:47:42: {'zone1': {'temperature': 9.68, 'humidity': 58.01, 'timestamp': '2025-08-31 11:47:42', 'status': 'Within Range'}, 'zone2': {'temperature': 2.28, 'humidity': 54.93, 'timestamp': '2025-08-31 11:47:42', 'status': 'Within Range'}, 'zone3': {'temperature': 5.3, 'humidity': 85.68, 'timestamp': '2025-08-31 11:47:42', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 12.0, 'humidity': 59.42, 'timestamp': '2025-08-31 11:47:42', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:47:47: {'zone1': {'temperature': 10.21, 'humidity': 57.27, 'timestamp': '2025-08-31 11:47:47', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 1.57, 'humidity': 55.06, 'timestamp': '2025-08-31 11:47:47', 'status': 'Within Range'}, 'zone3': {'temperature': 5.24, 'humidity': 85.91, 'timestamp': '2025-08-31 11:47:47', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 11.23, 'humidity': 59.92, 'timestamp': '2025-08-31 11:47:47', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:47:52: {'zone1': {'temperature': 9.74, 'humidity': 57.9, 'timestamp': '2025-08-31 11:47:52', 'status': 'Within Range'}, 'zone2': {'temperature': 1.62, 'humidity': 54.56, 'timestamp': '2025-08-31 11:47:52', 'status': 'Within Range'}, 'zone3': {'temperature': 6.16, 'humidity': 85.09, 'timestamp': '2025-08-31 11:47:52', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 12.21, 'humidity': 60.71, 'timestamp': '2025-08-31 11:47:52', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:47:57: {'zone1': {'temperature': 9.39, 'humidity': 57.23, 'timestamp': '2025-08-31 11:47:57', 'status': 'Within Range'}, 'zone2': {'temperature': 0.85, 'humidity': 55.39, 'timestamp': '2025-08-31 11:47:57', 'status': 'Within Range'}, 'zone3': {'temperature': 5.51, 'humidity': 84.72, 'timestamp': '2025-08-31 11:47:57', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 11.34, 'humidity': 61.22, 'timestamp': '2025-08-31 11:47:57', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:48:02: {'zone1': {'temperature': 9.94, 'humidity': 56.3, 'timestamp': '2025-08-31 11:48:02', 'status': 'Within Range'}, 'zone2': {'temperature': 1.1, 'humidity': 55.01, 'timestamp': '2025-08-31 11:48:02', 'status': 'Within Range'}, 'zone3': {'temperature': 5.09, 'humidity': 83.8, 'timestamp': '2025-08-31 11:48:02', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 11.44, 'humidity': 60.5, 'timestamp': '2025-08-31 11:48:02', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:48:08: {'zone1': {'temperature': 9.26, 'humidity': 55.43, 'timestamp': '2025-08-31 11:48:08', 'status': 'Within Range'}, 'zone2': {'temperature': 1.62, 'humidity': 55.02, 'timestamp': '2025-08-31 11:48:08', 'status': 'Within Range'}, 'zone3': {'temperature': 4.7, 'humidity': 82.94, 'timestamp': '2025-08-31 11:48:08', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 12.25, 'humidity': 61.25, 'timestamp': '2025-08-31 11:48:08', 'status': '⚠ Out of Range'}}
